Time,Value
2010-01,62623.195999999996
2010-02,55850.217000000004
2010-03,57069.645000000004
2010-04,51282.697
2010-05,54092.59
2010-06,57146.163
2010-07,61684.763999999996
2010-08,61118.688
2010-09,55424.169
2010-10,54137.418999999994
2010-11,54968.591
2010-12,62224.255000000005
2011-01,62937.661
2011-02,55568.689
2011-03,57797.501000000004
2011-04,52509.107
2011-05,54371.068
2011-06,56993.137
2011-07,62343.119999999995
2011-08,61084.157999999996
2011-09,55233.024000000005
2011-10,54065.94
2011-11,54453.748
2011-12,59420.253
2012-01,61658.726
2012-02,58158.428
2012-03,57177.981
2012-04,53114.202
2012-05,56016.572
2012-06,57303.198000000004
2012-07,62782.618
2012-08,61321.615000000005
2012-09,55280.716
2012-10,55012.22
2012-11,55306.178
2012-12,59924.58
2013-01,61612.521
2013-02,55415.202999999994
2013-03,57965.218
2013-04,53158.799
2013-05,54288.397
2013-06,56012.45
2013-07,60728.786
2013-08,59550.183999999994
2013-09,54710.42
2013-10,54446.816
2013-11,55574.449
2013-12,60802.854
2014-01,90804.056
2014-02,56311.719
2014-03,58270.781
2014-04,52051.626000000004
2014-05,53528.09
2014-06,55357.753
2014-07,59676.224
2014-08,58676.43
2014-09,54440.312
2014-10,53803.719
2014-11,54968.141
2014-12,60071.201
2015-01,89085.3903
2015-02,56056.683699999994
2015-03,49476.544
2015-04,45820.6141
2015-05,60467.606100000005
2015-06,62005.288400000005
2015-07,66051.216
2015-08,58741.1926
2015-09,44269.923599999995
2015-10,43015.7169
2015-11,51792.5242
2015-12,55693.2083
2016-01,60791.4087
2016-02,46645.356700000004
2016-03,47779.6538
2016-04,47884.5558
2016-05,54488.4173
2016-06,60231.1745
2016-07,64291.123
2016-08,56800.81
2016-09,43155.575
2016-10,44496.415
2016-11,49029.804000000004
2016-12,63041.674
2017-01,57865.5821
2017-02,45126.2074
2017-03,57062.0076
2017-04,47887.7614
2017-05,52627.3541
2017-06,53662.1467
2017-07,60592.9289
2017-08,50260.3572
2017-09,41609.244099999996
2017-10,47795.0385
2017-11,52443.1877
2017-12,63038.5625
2018-01,55709.6533
2018-02,45064.0867
2018-03,52623.0178
2018-04,49215.4173
2018-05,56661.2524
2018-06,51472.0313
2018-07,56854.606100000005
2018-08,51961.995599999995
2018-09,44912.6324
2018-10,44534.114
2018-11,54100.433000000005
2018-12,53390.8725
2019-01,53489.8938
2019-02,42639.221300000005
2019-03,45175.7966
2019-04,42523.05
2019-05,48502.1296
2019-06,46788.5483
2019-07,50402.954
2019-08,46651.5528
2019-09,40667.4513
2019-10,40023.9644
2019-11,48704.8138
2019-12,47168.7221
2020-01,46181.504499999995
2020-02,42306.210699999996
2020-03,39752.1232
2020-04,33700.1499
2020-05,39607.0051
2020-06,41693.8352
2020-07,44501.7356
2020-08,44119.106
2020-09,35180.8758
2020-10,37930.0986
2020-11,41545.5272
2020-12,48042.0852
2021-01,61272.4027
2021-02,56372.8159
2021-03,51274.1917
2021-04,49235.6051
2021-05,55089.0236
2021-06,59288.9834
2021-07,59127.8563
2021-08,58989.154
2021-09,40944.5401
2021-10,48579.754
2021-11,56622.2096
2021-12,63854.3214
2022-01,71615.1628
2022-02,53065.284199999995
2022-03,52873.5812
2022-04,50208.2379
2022-05,61855.411
2022-06,59405.664300000004
2022-07,64525.8442
2022-08,54253.6323
2022-09,41031.7113
2022-10,45584.771
2022-11,58841.769100000005
2022-12,66539.4901
2023-01,56167.4992
